Plot,1,Error Plot1,2,Error Plot2,3,Error Plot3
Actual harvest (kg),"1,314.44",,236.92,,387.82,
Predicted_Breeder (kg),503.19, 0.62 ,332.87, 0.40 ,342.67, 0.12 
Predicted_Huber (kg),986.23, 0.25 ,258.2, 0.09 ,345.22, 0.11 
Predicted_M-estimators (kg),991.44, 0.25 ,259.58, 0.10 ,346.97, 0.11 
Predicted_Linear Regression (kg),998.47, 0.24 ,262.01, 0.11 ,348.57, 0.10 
Predicted_Ridge Regression (kg),999.03, 0.24 ,263.05, 0.11 ,348.01, 0.10 
Predicted_Method 1 (kg),990.3, 0.25 ,259.48, 0.10 ,346.36, 0.11 
Predicted_Method 2 (kg),990.5, 0.25 ,259.45, 0.10 ,346.5, 0.11 
Predicted_Method 3 (kg),990.61, 0.25 ,259.65, 0.10 ,346.39, 0.11 
Predicted_Method 4 (kg),988.31, 0.25 ,258.75, 0.09 ,345.92, 0.11 
