Feature,RandomForest,RFE,Permutation,LASSO,Correlation,SHAP
Cigr_CD,0.06368201426061097,1.0,0.020006637504954905,3.693758792730706,0.9287252835294174,0.14751640897345697
Cire_CD,0.4826175588300101,1.0,0.5146116093958158,0.0,0.9382967562490696,1.1621765505370865
EVI2_CD,0.03347814362619217,1.0,0.017325423340473316,0.0,0.9087761333910838,0.07445967511203212
NDRE_CD,0.35454185520995396,1.0,0.37727506960159085,0.0,0.9421162185566782,0.8600720270546449
NDVI_CD,0.01270856599714629,0.5,0.0013108131493843342,0.0,0.89480465273613,0.03371713237260903
Cigr_CV,0.004589644601895272,0.08333333333333333,0.0006520073171197108,0.16070864516677322,0.8211216664602528,0.019965751587781688
Cire_CV,0.003990709176515561,0.09090909090909091,-0.0025006863334958384,0.0,0.8289811915873779,0.012486617951761335
EVI2_CV,0.004077404502159455,0.16666666666666666,-0.0009052844838335646,0.0,0.8011561934178497,0.012566737518423014
NDRE_CV,0.004442411093518447,0.25,-0.002856636932824186,0.0,0.8213611250214395,0.015075984044221093
NDVI_CV,0.0037558579282816703,1.0,-6.027447084843152e-05,0.0,0.7856804192119063,0.015952474645620843
Maize_high,0.005166399256029508,0.3333333333333333,-7.119145818987871e-05,0.0,0.08653736362047802,0.02574258461394666
N,0.0009933102852908912,0.05555555555555555,-0.0002974812763551049,0.0,0.12515627038629065,0.004508786615693514
P,0.0014481079650286858,0.06666666666666667,-0.00032911140105789847,0.0,0.11765748319159615,0.005051880313143332
K,0.0013442383772086037,0.058823529411764705,-0.0008288693176037716,0.0,0.12180394673726577,0.006216898308764381
pH,0.0035168566557819193,0.125,0.001505800416832755,0.0,0.02647277635987361,0.012615117412591135
SoilTemp,0.0017253660904538765,0.07142857142857142,0.00018467548170427359,0.0,0.038059588840871385,0.006903267456934603
SoilHumi,0.0027770928274888948,0.1,0.00018871948612375622,0.019021925683536688,0.08953798371705697,0.012956389043378168
EC,0.0019121926038663244,0.14285714285714285,-0.0005032925775127706,0.0013968323653024196,0.1266040793244372,0.008288741153010584
Water feed Per Area (m3/dunam),0.000706276468466811,0.05,-0.0015076226268317876,0.0,0.11614086308203128,0.003409772815726009
Uv radiation,0.002573092735175799,0.07692307692307693,-0.0027115816282538858,0.0,0.015312604892460375,0.010565577944892775
Evapotranspiration,0.000472865630948829,0.05263157894736842,-0.00041730249753542484,0.0,0.1420093641215338,0.0021662058426225503
Daily rain,0.0,0.047619047619047616,0.0,0.0,,0.0
Rain rate,0.0,0.045454545454545456,0.0,0.0,,0.0
Humidity,0.0034414634099121364,0.1111111111111111,-0.0019930182419714447,0.003158247921081139,0.13751761040128133,0.008659917453277126
Wind speed,0.00233612095206892,0.0625,-0.00023635189217109017,0.016769514247588026,0.00782018166603279,0.009648832401058224
Temperature,0.0037024515159948864,0.2,-0.006785760905002047,0.0,0.12947781531938374,0.010845028918067353
