Feature Set,Model,MAE,MSE,RMSE,R2
All Features,CatBoost,0.7213315331391015,1.5405534848190814,1.2411903499540597,0.7802317071373398
All Features,Decision Tree,0.9870370370370369,4.735048148148148,2.1760165780958904,0.32451975319556936
All Features,ElasticNet,0.8780621129157882,1.4312689601536615,1.1963565355501935,0.7958217360838825
All Features,Gradient Boosting,0.7317500489710403,1.653480062573372,1.2858771568751706,0.7641221196050397
All Features,Huber,0.27932541663995153,0.5171763470411612,0.7191497389564716,0.9262219948750884
All Features,KNN,1.0671111111111111,1.910846518518519,1.3823337218336675,0.7274074016672718
All Features,Lasso Regression,1.0929562996602586,2.027034928318084,1.4237397684682704,0.7108324961390315
All Features,Linear Regression,0.4723900877134728,0.6722177759738466,0.8198888802599085,0.9041044958753537
All Features,M-estimators,0.3441782983286693,0.5470971293257287,0.7396601444756428,0.9219536333358154
All Features,Passive Aggressive,0.9343432882350008,1.6667850891926326,1.2910403127682082,0.762224085544281
All Features,Random Forest,0.5979407407407403,1.2561459718518535,1.120779180682731,0.8208039782191601
All Features,Ridge Regression,0.4567083098252977,0.6230569728778858,0.7893395802047973,0.911117550520078
All Features,SVR,0.7270654608017777,1.4381917925142491,1.1992463435484175,0.7948341565777809
All Features,XGBoost,0.8296841381214285,2.203648252667304,1.4844690137107288,0.6856376495001397
RandomForest Importance,CatBoost,0.6289422444301935,1.2532357170815625,1.1194801101768457,0.8212191418139101
RandomForest Importance,Decision Tree,0.6522222222222221,1.4908925925925929,1.2210211270050133,0.7873161022032688
RandomForest Importance,ElasticNet,0.8620454257707569,1.36557162106966,1.1685767501835984,0.8051938170913822
RandomForest Importance,Gradient Boosting,0.6340863156563512,1.6497187626233425,1.2844137817009527,0.7646586894009657
RandomForest Importance,Huber,0.2790693202303795,0.5166165530801132,0.7187604281539943,0.9263018525135194
RandomForest Importance,KNN,0.7613333333333335,1.8060628148148141,1.3438983647637994,0.7423553641429106
RandomForest Importance,Lasso Regression,1.0929562996602582,2.0270349283180824,1.4237397684682698,0.7108324961390318
RandomForest Importance,Linear Regression,0.39338390311371013,0.6028169529634809,0.7764128753205223,0.914004898910074
RandomForest Importance,M-estimators,0.3039038035825508,0.5285395056834932,0.7270072253310095,0.9246009787916083
RandomForest Importance,Passive Aggressive,1.0425656631165583,1.7132851149046775,1.3089251754415443,0.7555906051948429
RandomForest Importance,Random Forest,0.6443962962962978,1.373556807037038,1.1719883988491686,0.8040546870932779
RandomForest Importance,Ridge Regression,0.3887702934084828,0.5968440933064079,0.7725568544168175,0.9148569596682874
RandomForest Importance,SVR,0.5501991516612462,1.4043377465996936,1.1850475714500637,0.7996636194626802
RandomForest Importance,XGBoost,0.5933992922747577,1.0345695446184688,1.0171379181893028,0.8524130548474909
RFE with CV,CatBoost,0.6089998823959546,1.0370238690418812,1.0183436890568336,0.8520629321844482
RFE with CV,Decision Tree,0.8788888888888889,2.4986481481481473,1.5807112791867297,0.6435543177214303
RFE with CV,ElasticNet,0.8945305333133577,1.487261242072832,1.2195332066298286,0.787834134009615
RFE with CV,Gradient Boosting,0.6514605294544297,1.4507672934316491,1.204478016998089,0.793040193306954
RFE with CV,Huber,0.27906308708514377,0.5166172807007299,0.718760934317336,0.9263017487145002
RFE with CV,KNN,0.6672592592592592,1.0962435555555556,1.0470165020454814,0.8436149233764317
RFE with CV,Lasso Regression,1.0929562996602582,2.0270349283180824,1.4237397684682698,0.7108324961390318
RFE with CV,Linear Regression,0.3795133607763039,0.5803517944729292,0.7618082399612971,0.9172096753615306
RFE with CV,M-estimators,0.30433733864372775,0.5299596155329953,0.7279832522338652,0.9243983924352255
