Cire_CD,NDRE_CD,Predicted_Huber,Predicted_M-estimators,Predicted_Linear Regression,Predicted_Ridge Regression,Seed_Method 1,Seed_Method 2,Seed_Method 3,Seed_Method 4
0.458969275,0.185192467,8.041004956,8.094464046,8.164194607,8.086765576,8.07393771,8.084353568,8.068867762,8.062388592
0.576811759,0.220780522,9.808149011,9.860805232,9.89726077,9.839737525,9.836015905,9.84440104,9.832896391,9.8292115
0.529403262,0.204466226,8.998478568,9.046946504,9.090372881,9.052786526,9.027639176,9.033821208,9.026303937,9.017865742
0.418523693,0.166932585,7.135586356,7.17566472,7.23739421,7.23772682,7.168004697,7.169975354,7.170041876,7.151617701
0.2734882,0.115762628,4.59628187,4.620700677,4.699707699,4.778665009,4.632188409,4.625513618,4.64130508,4.606049393
0.352600319,0.147239599,6.157674655,6.198689329,6.279726355,6.265905516,6.193007314,6.196440131,6.193675963,6.174080525
0.370438907,0.152839265,6.435683903,6.477056997,6.553739544,6.539958902,6.470328895,6.473775614,6.471019486,6.452233141
0.349201996,0.145674507,6.080073757,6.119894447,6.20016007,6.193304727,6.115351692,6.118028261,6.116657192,6.096002033
0.364989147,0.152301411,6.408740844,6.452653871,6.534434687,6.504229896,6.444033042,6.449249172,6.443208214,6.426306055
0.28597336,0.121649395,4.888142388,4.917256697,4.999537103,5.050990256,4.924300939,4.920611339,4.93090197,4.899788112
0.421010212,0.168391942,7.207900851,7.249562588,7.31286589,7.303705401,7.240476331,7.243475467,7.241643369,7.224565546
0.648094881,0.240994312,10.81215499,10.86135847,10.87346617,10.84636353,10.83646801,10.84163844,10.83621791,10.83183638
0.555403265,0.215473106,9.544360163,9.599777822,9.645998264,9.568656547,9.573578909,9.584083963,9.56861562,9.566527226
0.378823145,0.15662447,6.623373782,6.667520635,6.745861748,6.715961501,6.658125407,6.663322774,6.657342724,6.641032523
0.362742618,0.151011258,6.344807693,6.387354215,6.467804202,6.44577954,6.379968485,6.384298278,6.379893345,6.361826302
0.339922597,0.142585038,5.92672557,5.965960895,6.047924326,6.043519178,5.962295404,5.964697685,5.963816655,5.9424197
0.285770784,0.122719442,4.941035571,4.972706626,5.058678411,5.094268173,4.977624432,4.975649008,4.982766961,4.953703993
0.361342901,0.15060818,6.324788463,6.367388868,6.448297161,6.42576135,6.360016743,6.364400344,6.359893182,6.341828625
0.534822938,0.204032463,8.977380163,9.021134071,9.056378438,9.048679815,9.005536128,9.008493685,9.006953961,8.994881726
0.832062569,0.291211369,13.30684581,13.34273182,13.28573558,13.36443927,13.32125994,13.31518387,13.3309246,13.32120021
0.745356211,0.268392749,12.173059,12.21714029,12.1954422,12.21239334,12.19245514,12.19296409,12.19635432,12.19069151
0.343175007,0.144049819,5.999357433,6.039660681,6.12225602,6.111647773,6.0349673,6.038043287,6.035921638,6.015478732
0.393018744,0.160354713,6.80871942,6.85151182,6.924055817,6.904344507,6.842653288,6.846764039,6.842821777,6.82583638
0.385883004,0.156363776,6.610937746,6.649631429,6.718292099,6.723066026,6.644494114,6.645951406,6.646906191,6.626415219
0.413859084,0.165691234,7.073910813,7.114398982,7.177983229,7.175186233,7.106592047,7.108896155,7.108336756,7.090106081
0.315784957,0.133275743,5.46489706,5.499734224,5.58202453,5.601805124,5.500751762,5.500515561,5.50447168,5.478831925
0.300349071,0.127034851,5.155338074,5.186712855,5.26828809,5.307560403,5.191267743,5.18890925,5.196763713,5.167887986
0.634514121,0.23645537,10.58686444,10.63517195,10.64970861,10.62643518,10.61159818,10.6163409,10.61168621,10.60618744
0.461729699,0.181943905,7.88056402,7.924782864,7.980619462,7.960778784,7.911856694,7.916051704,7.912083568,7.898251557
0.358973478,0.14962155,6.275854467,6.317858681,6.398565178,6.379422224,6.311083578,6.315098084,6.311269493,6.292656153
0.293438569,0.125476655,5.077852561,5.110468846,5.195694068,5.226400242,5.114276365,5.112836562,5.118977797,5.090899075
0.43284714,0.172680332,7.420691391,7.46388463,7.526138313,7.508990873,7.453024003,7.456898409,7.453468921,7.437968687
0.697839584,0.255843612,11.54954187,11.59801464,11.5955188,11.57924593,11.5716518,11.57570273,11.57244815,11.56893098
0.448297686,0.179571955,7.762425327,7.810540809,7.875581742,7.829901359,7.794923216,7.801897029,7.792760952,7.78167152
0.318278265,0.134994931,5.550058782,5.587061582,5.671751931,5.67843346,5.586166405,5.587348392,5.588684697,5.564859902
0.371499706,0.153083287,6.447817182,6.489010609,6.565148383,6.552615095,6.482388121,6.485701122,6.483194464,6.464294553
0.405213991,0.163873209,6.983467205,7.025805081,7.094377275,7.079026827,7.016815537,7.020467475,7.017397386,7.000402355
0.368738196,0.153333278,6.460000094,6.503660931,6.584060799,6.55589326,6.495093732,6.500093528,6.49446002,6.477464429
0.330310082,0.139879343,5.792330876,5.832077277,5.917388679,5.908599633,5.828387452,5.831253677,5.829495868,5.808229436
0.314030916,0.131732605,5.388487235,5.421047089,5.500576952,5.534242043,5.424039644,5.422301127,5.429034146,5.401511177
0.441322071,0.177195284,7.64446788,7.692020844,7.758163884,7.715084093,7.677164991,7.683850619,7.67523466,7.663489066
0.538034554,0.207543772,9.151195622,9.200668539,9.243170601,9.200452623,9.180160695,9.186906139,9.178362543,9.170984789
0.302815881,0.128817903,5.243655713,5.277358653,5.361572292,5.386735441,5.279866225,5.279035058,5.284067687,5.257136889
0.248983086,0.107257045,4.174167586,4.196256959,4.278633152,4.368914942,4.21071569,4.202791979,4.220848337,4.183003335
0.310745436,0.130178995,5.311461287,5.342775345,5.42142935,5.462395185,5.346945701,5.34441482,5.352607987,5.32398691
0.370282398,0.151708595,6.379770282,6.418697098,6.491943285,6.493296242,6.414018223,6.415829268,6.41609986,6.395341009
0.292282975,0.12470634,5.039691759,5.07136416,5.15556212,5.191968735,5.076008213,5.073951171,5.081232494,5.052360719
0.211199895,0.091627811,3.398986764,3.41180348,3.49129502,3.634228441,3.435586772,3.421934266,3.45052095,3.404113451
0.407909213,0.163387362,6.959618637,6.999001994,7.06263741,7.065930218,6.992366679,6.994006566,6.994665128,6.97537198
0.36953969,0.152285981,6.408270202,6.449013026,6.525044418,6.515054024,6.442848853,6.445885034,6.443886955,6.424567332
0.340730427,0.142648142,5.929897496,5.968718771,6.049873069,6.048135118,5.965365198,5.967480057,5.967132467,5.945426006
0.254292008,0.109959248,4.308113224,4.332648831,4.417056366,4.492857715,4.34484267,4.338489315,4.353649585,4.317927467
0.367113192,0.152954536,6.441169636,6.485094554,6.566313098,6.536303798,6.476374874,6.48157205,6.47557019,6.458739603
0.639237692,0.240163937,10.77053001,10.82396037,10.84449462,10.79008627,10.7959112,10.80402356,10.79314189,10.79190215
0.389275118,0.160944927,6.837660857,6.884365891,6.963495151,6.919072712,6.872396982,6.879174478,6.87028999,6.856342871
0.327197832,0.137348722,5.667009827,5.703184068,5.784263879,5.797208151,5.702607337,5.703121622,5.705710476,5.681479523
0.366251337,0.151225058,6.355603928,6.396215886,6.472957827,6.463361403,6.390298653,6.393288893,6.391369608,6.371848711
0.352749144,0.146900212,6.140903947,6.181049425,6.260809721,6.252391958,6.176086969,6.178936019,6.177252466,6.156962138
0.312983417,0.132667455,5.434641625,5.47003498,5.553880209,5.569860491,5.470705376,5.470877016,5.474073072,5.448798967
0.30982615,0.132332802,5.417892643,5.454705411,5.541430215,5.548217892,5.454322756,5.455484626,5.456842162,5.43261775
