Cire_CD,NDRE_CD,Predicted_Huber,Predicted_M-estimators,Predicted_Linear Regression,Predicted_Ridge Regression,Seed_Method 1,Seed_Method 2,Seed_Method 3,Seed_Method 4
0.70323664,0.254738785,11.49526268,11.53752112,11.52471574,11.54762136,11.51612139,11.51594375,11.52052487,11.51216606
0.732296699,0.266216486,12.06461955,12.11278287,12.1004512,12.09046145,12.0852359,12.08864304,12.08664509,12.08388488
0.72660738,0.264407274,11.97480152,12.02279791,12.0117802,12.00210356,11.99562851,11.99899599,11.99706067,11.99400008
0.59329959,0.225483259,10.04172476,10.09364397,10.12455547,10.07368687,10.06877981,10.07646263,10.06628891,10.06249245
0.533301969,0.20324509,8.938352497,8.981375734,9.015995695,9.012630475,8.966451586,8.96893927,8.968266226,8.955561792
0.28582352,0.120982251,4.855147251,4.882857763,4.963182583,5.023312544,4.891080467,4.886452997,4.898478989,4.866231456
0.326810805,0.135800056,5.590414479,5.623357044,5.699946377,5.73286018,5.625495008,5.623850756,5.630433517,5.603591505
0.346050281,0.141913312,5.893907063,5.927402996,5.999533109,6.031457015,5.928273443,5.926755849,5.93314063,5.907305436
0.221360308,0.095530598,3.59260431,3.607236603,3.686539678,3.819514014,3.629078505,3.616512686,3.643107554,3.598457228
0.263232067,0.112695513,4.443976198,4.468533111,4.550533178,4.627335387,4.480334889,4.473882513,4.489242955,4.453798963
0.262562678,0.112962471,4.457132375,4.482753542,4.566449694,4.636574576,4.493694677,4.487963247,4.501988224,4.467380842
0.309918036,0.128086888,5.207968374,5.235126575,5.308095836,5.374700221,5.242801765,5.237499237,5.250820114,5.218831655
0.347887424,0.144390451,6.016501915,6.054327749,6.132114793,6.137449979,6.051505759,6.052863532,6.05393057,6.031632249
0.263066318,0.112547801,4.436662247,4.46099969,4.542732828,4.62087354,4.472991667,4.466394468,4.482022611,4.446397224
0.277903783,0.118683595,4.740986453,4.768961184,4.851821316,4.909311031,4.777294816,4.772944581,4.784442524,4.752176345
0.379989664,0.157175792,6.650707644,6.695296162,6.773947314,6.741458998,6.685483302,6.690961559,6.684463896,6.668543051
0.636773777,0.239183981,10.72191993,10.77483428,10.79530653,10.74378238,10.74731914,10.75511727,10.74481244,10.74308567
0.295196771,0.125616405,5.084875124,5.116595685,5.200067605,5.236545117,5.121077539,5.119015816,5.126311319,5.097563348
0.311708169,0.132250829,5.413960537,5.449291411,5.533395517,5.549601236,5.450067367,5.450213339,5.453454483,5.428092887
0.237130784,0.102717904,3.94897821,3.968980242,4.051619746,4.153329672,3.985678119,3.976507228,3.996849213,3.956979022
0.279607647,0.12013363,4.812789775,4.842866074,4.928250397,4.972937886,4.849373538,4.846408604,4.855346102,4.824820295
0.705125443,0.255615586,11.53873555,11.58167323,11.56931882,11.58825621,11.55962725,11.55988039,11.56366787,11.55591062
0.429205791,0.172691942,7.421031555,7.466759929,7.533611938,7.500299232,7.453934873,7.459552562,7.452890021,7.439322905
0.723986632,0.261255085,11.81877993,11.86146144,11.84359964,11.86651391,11.83883975,11.8386824,11.84326526,11.83585253
0.714013391,0.259386293,11.72574096,11.77107259,11.75969924,11.76493357,11.74665554,11.74839868,11.74944555,11.74387361
0.532894154,0.20193603,8.873602623,8.913949761,8.944875042,8.958035199,8.901277264,8.901978605,8.904610636,8.889741478
0.245132892,0.10531546,4.077922772,4.098279028,4.179240293,4.279769969,4.11434612,4.105310965,4.125416901,4.086065274
0.267546396,0.112716972,4.445314283,4.466947075,4.543612102,4.639074421,4.481009916,4.472545324,4.491637788,4.4539674
0.324402477,0.136610757,5.630343186,5.666776424,5.748986809,5.759972517,5.666100453,5.666823544,5.669020686,5.644916482
0.216594774,0.09434722,3.533788637,3.54903123,3.630501721,3.759091698,3.57056303,3.558466162,3.584184157,3.539885675
0.216912801,0.095461838,3.588918975,3.606460298,3.691113268,3.805504092,3.626059313,3.615497297,3.638375461,3.595935504
0.231175717,0.100059943,3.817178524,3.835279458,3.916839093,4.029570739,3.853814083,3.843445965,3.865992294,3.824418898
0.303142339,0.125514152,5.080329751,5.106344792,5.179535869,5.252362963,5.115258196,5.109276239,5.123841658,5.090735767
0.285968165,0.120708518,4.841622396,4.868614901,4.947879147,5.012475121,4.877431095,4.872321123,4.885240318,4.852419398
0.213593204,0.092953963,3.464709236,3.478872645,3.559626812,3.694521434,3.501431236,3.488649944,3.515628869,3.4703746
0.308340294,0.130625336,5.333375195,5.367354665,5.450455185,5.4746054,5.369400056,5.368684008,5.373514051,5.346966983
0.467953669,0.186389913,8.10078715,8.150760903,8.213084844,8.158384142,8.132768745,8.140737502,8.129797362,8.120776651
0.675638958,0.250977212,11.30750724,11.36028346,11.36996154,11.32421785,11.3312566,11.33846978,11.32932104,11.32861773
0.441911575,0.176201502,7.595370308,7.640272209,7.702484226,7.675901104,7.62760535,7.632508757,7.627192133,7.613331069
0.35600123,0.148515508,6.220977683,6.262531311,6.343407466,6.326679031,6.256256884,6.260007409,6.256661722,6.237599134
0.338054137,0.14085181,5.840909802,5.877517251,5.956252871,5.967889299,5.876124293,5.876791023,5.879118308,5.855552781
0.417898202,0.170125166,7.293396548,7.341117721,7.413887186,7.366797272,7.327102036,7.334197086,7.324779103,7.312485017
0.380316456,0.157768475,6.68003258,6.725734771,6.805880652,6.766535116,6.714978298,6.721197961,6.713328854,6.698313457
0.349748404,0.146266444,6.109375914,6.150157275,6.231640147,6.21890318,6.144789472,6.148102237,6.145554844,6.125688458
0.302950842,0.129170806,5.261112918,5.295520055,5.380698385,5.401516496,5.297433963,5.297072509,5.301236131,5.274875773
0.373945408,0.156717776,6.627673823,6.675392234,6.760142788,6.707500494,6.66321891,6.67086906,6.660340601,6.646761187
0.334297234,0.141343252,5.864966815,5.905272927,5.990293124,5.978542186,5.900948816,5.904139216,5.901789028,5.881089259
0.520563937,0.201665969,8.859458116,8.907690786,8.953192873,8.915943797,8.888949961,8.895086502,8.887636687,8.878751184
0.514727652,0.19875179,8.714997906,8.760668857,8.804119163,8.781999072,8.744311434,8.74880699,8.744382972,8.733266286
0.727048814,0.263022238,11.90634972,11.95091325,11.93489304,11.94653713,11.92659185,11.92765562,11.92998444,11.92417513
0.616580109,0.23063726,10.29804857,10.34556995,10.36387884,10.34320252,10.3234034,10.3278471,10.32371184,10.31705712
0.456835668,0.179853706,7.776904262,7.819773488,7.875025194,7.862924553,7.808179152,7.811532678,7.809112549,7.794051952
0.455645735,0.183251861,7.944842371,7.996207689,8.063866798,7.998986466,7.977568818,7.986625118,7.973649051,7.965388498
0.350892898,0.14474566,6.034257495,6.070814938,6.145978575,6.159551635,6.06892625,6.069396816,6.072111428,6.048880472
0.365436716,0.149147805,6.25284626,6.28932711,6.360416021,6.376306456,6.286893511,6.28712851,6.290306597,6.2674386
0.26435545,0.111136017,4.366942391,4.387202483,4.462785392,4.566346545,4.402545134,4.393202023,4.413914254,4.375046428
0.310113636,0.128115129,5.209377253,5.236464479,5.309279465,5.376348288,5.244190745,5.238838224,5.252251989,5.220212143
0.395047213,0.159628483,6.772942805,6.812697071,6.880367186,6.87973259,6.806290501,6.808341674,6.808214755,6.788844511
0.353200693,0.143985265,5.996809604,6.030059279,6.099889402,6.134244811,6.030836007,6.02906295,6.035934032,6.010109474
0.317881075,0.131994753,5.401695863,5.432195114,5.507744579,5.554661919,5.436747116,5.433580344,5.442963812,5.413895564
0.332072029,0.137122719,5.656148638,5.688454006,5.762702507,5.800230093,5.690903781,5.688766291,5.696271808,5.669070785
0.42273639,0.170586932,7.31653832,7.361969057,7.430161847,7.397873073,7.349663369,7.355163783,7.348706028,7.334710615
0.437742418,0.174941845,7.532821485,7.57775047,7.641137847,7.613858661,7.565235534,7.570209902,7.564754065,7.550793079
