,MAE,MSE,RMSE,R2
CatBoost,1.6310918018159546,3.7739109840589395,1.942655652466216,0.6313028709338149
Decision Tree,1.788888888888889,5.35,2.3130067012440754,0.47732481003497773
ElasticNet,2.9918479553990283,11.180612628469213,3.3437423089211307,-0.09230445411410693
Gradient Boosting,1.3904628180377816,2.4919619360516756,1.5785949246249575,0.756544546110016
Huber,1.6951523083792623,5.145028365024958,2.2682654970318086,0.49734977980096307
KNN,2.322222222222222,7.237555555555556,2.690270535755755,0.29291762151730794
Lasso Regression,3.0438548326902986,11.540200043068394,3.3970869937445514,-0.12743481303647308
Linear Regression,1.5697142483855697,4.4251110247962835,2.10359478626381,0.567683038223979
M-estimators,1.321294921341148,3.8036275030208517,1.9502890819108976,0.6283996770658679
Passive Aggressive,2.8255276393979916,9.835061739577428,3.136090199528296,0.03915088541096179
Random Forest,1.6335555555555556,3.9648584444444475,1.991195230117943,0.6126480110963692
Ridge Regression,2.2780289971363104,6.6975563749935425,2.587963750710883,0.3456735419437017
SVR,3.021038453754228,11.417226184423098,3.3789386180312744,-0.11542072239569512
XGBoost,1.2080359035068087,1.8780068964035823,1.3704039172461462,0.8165256801246048
