,MAE,MSE,RMSE,R2
CatBoost,1.9681626473443516,5.513206605664591,2.348021849486199,0.46138012898464387
Decision Tree,1.8555555555555554,5.654444444444444,2.377907576934908,0.447581715112773
ElasticNet,2.9918479553990283,11.180612628469213,3.3437423089211307,-0.09230445411410693
Gradient Boosting,1.5835670219183653,3.393498919681507,1.842145195059691,0.6684677210297889
Huber,2.243531027425134,9.803897379004018,3.1311175926502695,0.042195528043269426
KNN,2.322222222222222,7.237555555555556,2.690270535755755,0.29291762151730794
Lasso Regression,3.0438548326902986,11.540200043068394,3.3970869937445514,-0.12743481303647308
Linear Regression,1.8268275368077675,7.728322939560666,2.7799861401742034,0.24497146531852143
M-estimators,1.7562454329316968,5.71709949763268,2.391045691247384,0.4414605484160571
Passive Aggressive,2.8267585104932045,9.843974151340278,3.1375108209120617,0.038280175782701265
Random Forest,1.797000000000001,4.989206111111116,2.233653086562709,0.5125730370281023
Ridge Regression,2.6276858307784945,8.729745838872683,2.954614329971457,0.14713615613473974
SVR,3.0211110577105664,11.417615813141877,3.378996273028705,-0.11545878767879869
XGBoost,1.1782610787285699,1.893119375822411,1.375906746775526,0.8150492468440294
