,MAE,MSE,RMSE,R2
Linear Regression,2.7807083750922477,10.417005014315404,3.2275385380062316,-0.01770281770540061
Ridge Regression,3.20487955807671,13.415068194418817,3.662658623789394,-0.310602489142352
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0731588915263925,11.771008722164966,3.4308903687184418,-0.14998396634345923
SVR,3.0705568698919063,11.852028401104556,3.442677504661823,-0.15789928897535765
Random Forest,1.8830000000000002,4.866877000000003,2.2060999524046965,0.5245241382221684
Gradient Boosting,1.4145966224370798,2.5858387350459937,1.6080543321187857,0.7473731304562472
XGBoost,1.3323307514190672,2.410171394839898,1.5524726712054864,0.7645351791315502
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,2.0999999999999996,6.065555555555555,2.4628348616087834,0.40741768182366433
Huber,4.239050420475489,25.082550469109787,5.008248243558798,-1.4504723049063952
Passive Aggressive,2.8082382993900863,9.98915631757385,3.1605626583843973,0.02409641572369836
M-estimators,2.372276712155264,7.201136299017215,2.6834933014668056,0.2964756480275065
