,MAE,MSE,RMSE,R2
Linear Regression,2.8564128651982026,11.535413550225488,3.396382421080625,-0.12696719040919602
Ridge Regression,3.4208046247566157,14.59662309069997,3.8205527205759076,-0.4260360274354087
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0731588915263917,11.771008722164959,3.430890368718441,-0.14998396634345879
SVR,3.0703336842189457,11.8505526294312,3.4424631631189895,-0.1577551115473732
Random Forest,1.6944444444444442,4.602685555555556,2.145387040968495,0.5503346640935955
Gradient Boosting,1.4263398456843486,3.093773057526329,1.7589124644297478,0.6977498279343473
XGBoost,1.9110963185628256,4.9187786350907885,2.2178319672803863,0.5194535406557064
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.4777777777777776,3.698888888888889,1.9232495649002208,0.6386322518393439
Huber,4.09846521334457,20.851592817717723,4.566354434088283,-1.0371234087988603
Passive Aggressive,2.8073111270706517,9.97782420702187,3.1587694133984945,0.025203520963971382
M-estimators,2.228810897439867,6.686982645901517,2.585920077245528,0.34670655612348
