,MAE,MSE,RMSE,R2
Linear Regression,2.798957182852929,10.53275786098475,3.245421060661428,-0.029011442214165406
Ridge Regression,3.350936527893423,14.076540383070814,3.7518715840325365,-0.3752258726676345
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
ElasticNet,3.0826860941946825,11.845378749587772,3.441711601745238,-0.15724964264456553
SVR,3.070943035265882,11.854377050720519,3.4430185957558406,-0.15812874334623306
Random Forest,1.8087777777777783,4.572036111111114,2.1382320059130895,0.5533290013267396
Gradient Boosting,1.4612759151187784,2.7590941577585664,1.6610521237331977,0.7304467171891884
XGBoost,1.4658920605977377,2.7675322737386536,1.6635901760165133,0.7296223445026765
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Decision Tree,1.6666666666666665,4.54,2.130727575266252,0.556458810758654
Huber,4.427211138745744,25.140854791864587,5.014065694809411,-1.4561684213496942
Passive Aggressive,2.8131257127198146,10.043255706299925,3.1691096078078345,0.018811105764933167
M-estimators,4.013688041971327,24.31971798336912,4.931502609080636,-1.3759463956734996
