,MAE,MSE,RMSE,R2
CatBoost,2.0599267364961755,6.04993187150238,2.4596609261242453,0.4089440579041216
Decision Tree,1.5819444444444446,4.212145276063101,2.0523511580777547,0.5884890033034482
ElasticNet,2.243278831464876,7.315435452982017,2.704706167586789,0.2853090439132272
Gradient Boosting,1.9007176259834198,4.767034595775676,2.1833539785787544,0.5342783714174049
Huber,2.7163602847411346,10.974881918994594,3.3128359330028094,-0.07220532558022197
KNN,3.1365079365079374,12.22040816326531,3.495770038670351,-0.19388862769809423
Lasso Regression,2.190050859988597,7.148594518030742,2.6736855682803733,0.30160878547763836
Linear Regression,3.0300380596886467,12.254576870973349,3.5006537776497333,-0.19722678392092763
M-estimators,2.6971584547596477,13.279744944974993,3.644138436582095,-0.2973819087480092
Passive Aggressive,2.801815124860592,9.972309172803861,3.157896320781267,0.0257423193859454
Random Forest,1.6781111111111127,4.459905000000003,2.1118487161726343,0.5642837956820647
Ridge Regression,2.8081736819871175,9.389445018514946,3.06422013218942,0.08268598902459223
SVR,3.087134377361719,11.378787977946741,3.3732459112769617,-0.11166545195234101
XGBoost,1.4619711187150743,3.1341009579235526,1.770339221144793,0.6938099413921026
