Machine Learing Algorithms,Scenario,MAE,MSE,RMSE,R2
CatBoost,CIre_CV_6FE,1.49,3.2,1.79,0.69
Decision_Tree ,NDVI_CV_6FE,1.36,2.25,1.5,0.78
ElasticNet,NDRE_CD_6FE,2.45,7.6,2.76,0.26
Gradient_Boosting ,CIre_CD_6FE,1.27,2.21,1.49,0.78
Huber ,CIre_CD_6FE,1.61,4.17,2.04,0.59
KNN,NDVI_CD,1.99,5.77,2.4,0.44
Lasso,NDRE_CD,2.49,7.71,2.78,0.25
Linear ,CIre_CD_6FE,1.5,3.59,1.9,0.65
M-estimators,CIre_CD_6FE,1.61,4.17,2.04,0.59
Passive_Aggressive ,NDRE_CD_16Env,1.82,5.35,2.31,0.48
RF ,EVI2_CV_6FE,1.49,3.76,1.94,0.63
Ridge,CIre_CD_6FE,1.68,4.6,2.14,0.55
SVR,CIre_CD,2.33,6.96,2.64,0.32
XGBoost,CIre_CV_6FE,1.01,1.51,1.23,0.85
