Scenario,Machine_Learing_Algorithms,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
CIgr_CD,CatBoost,0.445665769,2.465762899,0.266518926,8.608829089,0.51625471,2.934080621,0.972520674,0.158949275
CIgr_CD,Decision_Tree ,0,2.666666667,0,10.46,0,3.234192326,1,-0.021903269
CIgr_CD,ElasticNet,1.822549865,2.628983774,4.742021583,8.532522642,2.177618328,2.921048209,0.51107579,0.166404132
CIgr_CD,Gradient_Boosting ,0.318187483,2.581552891,0.149342837,9.212057584,0.386449009,3.035137161,0.984602067,0.100016085
CIgr_CD,Huber ,1.463140327,2.274704317,3.370806455,7.019745333,1.835975614,2.649480201,0.652454369,0.314196874
CIgr_CD,KNN,1.488888889,2.191111111,3.043111111,6.759466667,1.744451522,2.599897434,0.686241265,0.339625136
CIgr_CD,Lasso,1.761443568,2.578655281,4.368401683,8.220019333,2.090072172,2.867057609,0.549597719,0.196934548
CIgr_CD,Linear ,1.466016279,2.286073818,3.368401683,7.035485381,1.835320594,2.65244894,0.652702312,0.312659129
CIgr_CD,M-estimators,1.463140327,2.274704317,3.370806455,7.019745333,1.835975614,2.649480201,0.652454369,0.314196874
CIgr_CD,Passive_Aggressive ,1.910120961,2.779575279,5.521471029,9.875285869,2.34978106,3.142496757,0.430710972,0.035221137
CIgr_CD,RF ,0.789111111,2.474333333,0.801068278,9.011147667,0.895024177,3.001857369,0.917406181,0.11964424
CIgr_CD,Ridge,1.47672998,2.305969721,3.373025852,7.081849626,1.836579934,2.661174482,0.652225539,0.308129514
CIgr_CD,SVR,1.722201528,2.456607526,4.789995789,7.854693091,2.188605901,2.802622538,0.50612943,0.232625569
CIgr_CD,XGBoost,0.004359372,2.665771267,2.38E-05,10.44785967,0.004877922,3.232314909,0.999997547,-0.020717204
CIre_CD,CatBoost,0.468392116,2.252865084,0.292996039,6.099222629,0.541291085,2.469660428,0.969790762,0.404128533
CIre_CD,Decision_Tree ,0,2.277777778,0,5.805555556,0,2.409472049,1,0.432818719
CIre_CD,ElasticNet,1.776092654,2.574419095,4.503515345,8.212750304,2.122148757,2.865789648,0.535666879,0.197644706
CIre_CD,Gradient_Boosting ,0.322091648,2.267109767,0.148999036,6.009248235,0.386003932,2.451376804,0.984637515,0.412918699
CIre_CD,Huber ,1.406049198,2.17491252,3.087895562,6.149693669,1.757240895,2.479857591,0.681623782,0.3991977
CIre_CD,KNN,1.4,2.284444444,2.774511111,6.404622222,1.665686378,2.53073551,0.713935159,0.374292124
CIre_CD,Lasso,1.70458831,2.512646628,4.086215689,7.808705377,2.021439014,2.794406087,0.578692391,0.237118399
CIre_CD,Linear ,1.403819747,2.188388435,3.086215689,6.198790298,1.756762844,2.489736994,0.681796985,0.394401141
CIre_CD,M-estimators,1.406049198,2.17491252,3.087895562,6.149693669,1.757240895,2.479857591,0.681623782,0.3991977
CIre_CD,Passive_Aggressive ,1.924434545,2.839939382,5.504144084,11.12348259,2.346091235,3.335188539,0.43249746,-0.086723061
CIre_CD,RF ,0.769166667,2.270222222,0.797182667,6.402307333,0.892850865,2.530278114,0.917806805,0.37451828
