Scenario,Machine_Learing_Algorithms,Test_MAE,Test_MSE,Test_RMSE,Test_R2
CIgr_CD,CatBoost,2.465762899,8.608829089,2.934080621,0.158949275
CIgr_CD,Decision_Tree ,2.666666667,10.46,3.234192326,-0.021903269
CIgr_CD,ElasticNet,2.628983774,8.532522642,2.921048209,0.166404132
CIgr_CD,Gradient_Boosting ,2.581552891,9.212057584,3.035137161,0.100016085
CIgr_CD,Huber ,2.274704317,7.019745333,2.649480201,0.314196874
CIgr_CD,KNN,2.191111111,6.759466667,2.599897434,0.339625136
CIgr_CD,Lasso,2.578655281,8.220019333,2.867057609,0.196934548
CIgr_CD,Linear ,2.286073818,7.035485381,2.65244894,0.312659129
CIgr_CD,M-estimators,2.274704317,7.019745333,2.649480201,0.314196874
CIgr_CD,Passive_Aggressive ,2.779575279,9.875285869,3.142496757,0.035221137
CIgr_CD,RF ,2.474333333,9.011147667,3.001857369,0.11964424
CIgr_CD,Ridge,2.305969721,7.081849626,2.661174482,0.308129514
CIgr_CD,SVR,2.456607526,7.854693091,2.802622538,0.232625569
CIgr_CD,XGBoost,2.665771267,10.44785967,3.232314909,-0.020717204
CIre_CD,CatBoost,2.252865084,6.099222629,2.469660428,0.404128533
CIre_CD,Decision_Tree ,2.277777778,5.805555556,2.409472049,0.432818719
CIre_CD,ElasticNet,2.574419095,8.212750304,2.865789648,0.197644706
CIre_CD,Gradient_Boosting ,2.267109767,6.009248235,2.451376804,0.412918699
CIre_CD,Huber ,2.17491252,6.149693669,2.479857591,0.3991977
CIre_CD,KNN,2.284444444,6.404622222,2.53073551,0.374292124
CIre_CD,Lasso,2.512646628,7.808705377,2.794406087,0.237118399
CIre_CD,Linear ,2.188388435,6.198790298,2.489736994,0.394401141
CIre_CD,M-estimators,2.17491252,6.149693669,2.479857591,0.3991977
CIre_CD,Passive_Aggressive ,2.839939382,11.12348259,3.335188539,-0.086723061
CIre_CD,RF ,2.270222222,6.402307333,2.530278114,0.37451828
CIre_CD,Ridge,2.210924483,6.282920962,2.506575545,0.386181886
CIre_CD,SVR,2.3297091,6.95599412,2.63742187,0.320425131
CIre_CD,XGBoost,2.278539944,5.809476359,2.410285535,0.432435671
EVI2_CD,CatBoost,2.572611059,10.12604953,3.182145429,0.010722455
EVI2_CD,Decision_Tree ,2.777777778,12.13111111,3.482974463,-0.185164636
EVI2_CD,ElasticNet,2.611190429,8.780630166,2.963212811,0.142164946
EVI2_CD,Gradient_Boosting ,2.686485906,11.11336706,3.333671709,-0.085734811
EVI2_CD,Huber ,2.324575833,8.35577496,2.890635736,0.183671726
EVI2_CD,KNN,1.982222222,5.862044444,2.421165927,0.427299964
EVI2_CD,Lasso,2.559644657,8.5684135,2.927185252,0.162897728
EVI2_CD,Linear ,2.340887049,8.232432055,2.869221507,0.195721871
EVI2_CD,M-estimators,2.324575833,8.35577496,2.890635736,0.183671726
EVI2_CD,Passive_Aggressive ,2.402214733,8.781457184,2.963352356,0.142084149
EVI2_CD,RF ,2.219444444,7.245488778,2.69174456,0.292142575
EVI2_CD,Ridge,2.345487699,8.204823597,2.864406325,0.198419116
EVI2_CD,SVR,2.449674882,8.070193269,2.840808559,0.211572
EVI2_CD,XGBoost,2.774961747,12.09827134,3.47825694,-0.181956312
NDRE_CD,CatBoost,2.944066588,9.634873728,3.104009299,0.058708513
NDRE_CD,Decision_Tree ,3.133333333,11.01111111,3.318299431,-0.075744784
NDRE_CD,ElasticNet,2.554998341,8.103325832,2.846634123,0.208335071
NDRE_CD,Gradient_Boosting ,2.985155193,9.892692429,3.145265081,0.03352058
NDRE_CD,Huber ,2.127432397,6.121694197,2.474205771,0.401933144
NDRE_CD,KNN,2.415555556,7.199066667,2.683107651,0.296677843
NDRE_CD,Lasso,2.491172639,7.705998862,2.775968094,0.247152445
NDRE_CD,Linear ,2.151600161,6.178108233,2.48558006,0.396421702
NDRE_CD,M-estimators,2.127432397,6.121694197,2.474205771,0.401933144
NDRE_CD,Passive_Aggressive ,2.245943612,6.405662888,2.530941107,0.374190455
NDRE_CD,RF ,2.573333333,7.889268,2.808784079,0.229247729
NDRE_CD,Ridge,2.175130487,6.252168241,2.500433611,0.389186313
NDRE_CD,SVR,2.357306528,7.127955936,2.669823203,0.303625099
