iter	RMSE
0	2.672181986
1	2.61295108
2	2.554426146
3	2.49628055
4	2.441638605
5	2.386379095
6	2.33244387
7	2.281358616
8	2.231814379
9	2.185774272
10	2.1406046
11	2.095041495
12	2.050871796
13	2.00990671
14	1.969874523
15	1.930519543
16	1.893502456
17	1.85655162
18	1.821106012
19	1.786365836
20	1.752427338
21	1.720320989
22	1.688600826
23	1.657658872
24	1.627984986
25	1.60040586
26	1.571850899
27	1.544999343
28	1.518730314
29	1.493786724
30	1.469485333
31	1.446455719
32	1.425227261
33	1.40185371
34	1.380906341
35	1.360299093
36	1.341463043
37	1.322510522
38	1.304944853
39	1.287593804
40	1.271200765
41	1.254241351
42	1.239205411
43	1.224223506
44	1.210208887
45	1.194987302
46	1.181371502
47	1.169162827
48	1.156800763
49	1.145821545
50	1.13434914
51	1.123639901
52	1.112896616
53	1.10342302
54	1.09378561
55	1.084699474
56	1.075973048
57	1.066246158
58	1.058293988
59	1.049025564
60	1.041124514
61	1.033489039
62	1.026143753
63	1.01942722
64	1.012583426
65	1.006037744
66	0.9998023333
67	0.9936652181
68	0.9881796966
69	0.9829210323
70	0.9780062249
71	0.9730390697
72	0.9674071805
73	0.9625103797
74	0.9583590266
75	0.954314036
76	0.9500806314
77	0.9458710469
78	0.9423779997
79	0.9385358392
80	0.9346212262
81	0.9315522464
82	0.9284003027
83	0.9252516817
84	0.9228754591
85	0.9205172319
86	0.9176124806
87	0.9149575383
88	0.9102447932
89	0.9078758073
90	0.904822044
91	0.901493224
92	0.899074253
93	0.8963375232
94	0.8942948975
95	0.8922776332
96	0.8901079064
97	0.8864065083
98	0.8839619521
99	0.8821936626
100	0.8806853457
101	0.8791277701
102	0.8776355165
103	0.8741437998
104	0.8715959623
105	0.8704471777
106	0.8687618902
107	0.8674573029
108	0.8650080824
109	0.8627276344
110	0.8603391782
111	0.8588450128
112	0.8577886565
113	0.8549361507
114	0.8538692556
115	0.8507135686
116	0.8495989532
117	0.8488017313
118	0.847192428
119	0.8465215607
120	0.845672993
121	0.8440688127
122	0.8434009866
123	0.8413969315
124	0.8401022043
125	0.8389401416
126	0.83819176
127	0.8359459191
128	0.8352694808
129	0.8343049175
130	0.8331749299
131	0.8324160988
132	0.8301760037
133	0.829059735
134	0.8281634655
135	0.8275145485
136	0.8267497898
137	0.8257929461
138	0.8250664892
139	0.8240731805
140	0.8233886619
141	0.82279136
142	0.8222013472
143	0.82181495
144	0.8206313765
145	0.8181268074
146	0.8171910875
147	0.8169756464
148	0.8156212859
149	0.8144667326
150	0.8140341383
151	0.8132907506
152	0.812614024
153	0.8104929955
154	0.8096132654
155	0.8089305325
156	0.8077105442
157	0.8069653121
158	0.8063487195
159	0.8060532487
160	0.8036368804
161	0.8016929567
162	0.7996557316
163	0.7990835576
164	0.7972876679
165	0.7949790205
166	0.7929961502
167	0.7927896517
168	0.7918987023
169	0.7901105015
170	0.7880257667
171	0.7872767455
172	0.7864204231
173	0.785920171
174	0.785360206
175	0.7832126112
176	0.7823244011
177	0.7817593396
178	0.7813797158
179	0.7812081095
180	0.7804174145
181	0.7799365037
182	0.7795608058
183	0.777731092
184	0.7771895894
185	0.7765568202
186	0.7758026044
187	0.7754535855
188	0.775106394
189	0.7749339017
190	0.7744989546
191	0.7737642558
192	0.7729852366
193	0.7710315206
194	0.7706893828
195	0.7700573031
196	0.769479694
197	0.7687513968
198	0.7666814577
199	0.7662454219
200	0.7659279224
201	0.7640087073
202	0.7620873467
203	0.7616016853
204	0.7613277894
205	0.7607121228
206	0.7587208349
207	0.756301835
208	0.7558670026
209	0.7554509123
210	0.7552357634
211	0.7547875499
212	0.7533515616
213	0.7522800723
214	0.7519099401
215	0.7516405432
216	0.7512736453
217	0.7490542042
218	0.7487316335
219	0.7483187738
220	0.7478234119
221	0.7474256461
222	0.746833432
223	0.7457781241
224	0.7453623594
225	0.7451314741
226	0.7445289096
227	0.7431043858
228	0.742787766
229	0.7424865469
230	0.7420882856
231	0.7415351658
232	0.741116968
233	0.7407194044
234	0.7403379644
235	0.7399738983
236	0.739733442
237	0.7393599072
238	0.7376231622
239	0.7372490848
240	0.7355040188
241	0.7351532692
242	0.7327469504
243	0.7308979868
244	0.7292173498
245	0.7290247061
246	0.7287017058
247	0.7283263862
248	0.7281168362
249	0.7277688655
250	0.7274281394
251	0.7266813156
252	0.7263111538
253	0.725926054
254	0.7240288558
255	0.7236817777
256	0.723514432
257	0.7231433904
258	0.7213662156
259	0.7209536113
260	0.7199321805
261	0.7180383902
262	0.7161752886
263	0.7160183229
264	0.7141793748
265	0.7137702349
266	0.7134029308
267	0.7116310415
268	0.7112429234
269	0.7090267455
270	0.7088452
271	0.7084151973
