id,Plot_Name,Latitude,Longitude,Husk_Cob_Seed,Cob_Seed,Seed,NDVI_10Jan,OSAVI_10Jan,NDVI_18Jan,OSAVI_18Jan,NDVI_25Jan,OSAVI_25Jan,NDVI_1Feb,OSAVI_1Feb,NDVI_8Feb,OSAVI_8Feb,NDVI_15Feb,OSAVI_15Feb,NDVI_22Feb,OSAVI_22Feb,NDVI_2Mar,OSAVI_2Mar,NDVI_7Mar,OSAVI_7Mar,NDVI_16Mar,OSAVI_16Mar,NDVI_23Mar,OSAVI_23Mar,NDVI_30Mar,OSAVI_30Mar,NDVI_5Apr,OSAVI_5Apr,NDVI_19Apr,OSAVI_19Apr,NDVI_26Apr,OSAVI_26Apr,NDVI_3May,OSAVI_3May
1,P1_1,15.276411,100.173847,9.4,8.3,7,0.000106519,0.00012356,0,0,0.006257775,0.00725889,0.089546725,0.103872329,0.326220593,0.378408978,0.678859829,0.787461394,0.7217508,0.837215388,0.612668872,0.71068361,0.758662027,0.880031737,0.722400476,0.837970386,0.587882381,0.681931455,0.554238335,0.642904754,0.600252567,0.696278799,0.522068371,0.605587758,0.199232285,0.231102748,0.071178696,0.082565988
2,P1_2,15.276544,100.174351,11.5,10.2,8.4,0.030524923,0.035408414,0.018826694,0.021838542,0.013844816,0.016059691,0.072038061,0.083562658,0.328416692,0.380956389,0.383035863,0.444312372,0.599117408,0.694963552,0.677530557,0.78592105,0.743016329,0.861882975,0.671651517,0.779101889,0.588612883,0.68277822,0.52609856,0.610263304,0.476171072,0.552347002,0.319421887,0.370523061,0.177347727,0.205717362,0.099919887,0.115905315
3,P1_3,15.276641,100.174642,18.4,16.5,14.2,0.000347504,0.000403097,0,0,0.015214697,0.017648705,0.018667219,0.021653577,0.220078331,0.255285883,0.398610734,0.46237937,0.594227999,0.68929214,0.746205084,0.865582666,0.77985505,0.904615288,0.735328295,0.852966278,0.724157837,0.840007136,0.681932523,0.79102722,0.662947558,0.76900439,0.499466966,0.579371871,0.410899037,0.476631181,0.242183658,0.280929145
4,P1_4,15.276776,100.175078,7.6,6.8,5.4,0.006284331,0.007289663,0.007218263,0.008372993,0.01889687,0.021919965,0.08965199,0.103994401,0.317602568,0.368412027,0.526025999,0.610178835,0.660490535,0.766154893,0.607075247,0.704194981,0.724752186,0.840696397,0.682344922,0.791507335,0.502044953,0.58236224,0.457965189,0.53123029,0.476271029,0.552463011,0.26771605,0.310545354,0.32553339,0.377608348,0.162606275,0.188620418
5,P1_5,15.277026,100.176013,14.6,13,11.3,0.000633968,0.000735385,0.002541189,0.00294771,0.011465491,0.013299733,0.125309606,0.145356411,0.348882689,0.404696345,0.676701982,0.784959873,0.77646722,0.900686052,0.760786154,0.882497035,0.813706671,0.943882696,0.76300502,0.885070107,0.697276238,0.808825441,0.673846852,0.781648132,0.68495434,0.794531184,0.467033725,0.541749547,0.209309335,0.242790551,0.186133714,0.21591187
6,P1_6,15.277291,100.175888,12.8,11.2,9.4,0.001534414,0.001779883,0.012526512,0.014530181,0.036183187,0.041971441,0.076067477,0.088236497,0.372981904,0.432650873,0.288752605,0.334945819,0.578619631,0.671185508,0.779734844,0.904476781,0.799418084,0.927307636,0.76079273,0.882502956,0.658877053,0.764282288,0.662050296,0.767963576,0.719059739,0.83409165,0.627071758,0.72738947,0.269339253,0.312424515,0.26366245,0.305843535
7,P1_7,15.277186,100.175511,13.2,12,10,0,0,0.024018755,0.027861086,0.023513906,0.027275613,0.063552567,0.073719655,0.291481754,0.338112268,0.436589772,0.506433625,0.650043199,0.754035715,0.714145266,0.82839345,0.793228578,0.920127791,0.756423172,0.877435202,0.677607141,0.786008885,0.681563353,0.790598535,0.722669243,0.83828034,0.602341425,0.698704175,0.354863582,0.411630709,0.274336468,0.318225407
8,P1_8,15.277062,100.175033,10.4,9.3,7.4,0,0,0.000641994,0.000744697,0.045314132,0.052563542,0.138500215,0.160657381,0.50188129,0.582171259,0.70175315,0.814020083,0.821889848,0.95337672,0.743855647,0.862857474,0.812112505,0.94203367,0.747741873,0.867364819,0.567727066,0.658550358,0.466104792,0.540670617,0.565623874,0.656109326,0.467722676,0.542548401,0.167890891,0.194747032,0.111567022,0.12941562
9,P1_9,15.276899,100.174489,12.6,11.2,9.2,5.37E-05,6.23E-05,0.000906259,0.001051234,0.015688155,0.018197906,0.079856678,0.092632071,0.305450638,0.354315825,0.52962769,0.614356356,0.690305262,0.800738,0.650872005,0.754997641,0.780358412,0.905198436,0.728087032,0.844565707,0.572319516,0.663877639,0.563541348,0.653695483,0.625883334,0.726009004,0.506881308,0.587971491,0.224908646,0.260886987,0.08540879,0.099072585
10,P1_10,15.276737,100.173876,10,8.7,7.2,0,0,0.005610493,0.00650805,0.002327329,0.002699658,0.036174278,0.041961462,0.230662541,0.267563565,0.467309904,0.542069091,0.63085405,0.731777196,0.538077151,0.624157885,0.713860783,0.828062009,0.677855323,0.786298213,0.477461955,0.553845764,0.435642999,0.505336228,0.484448971,0.561949711,0.218844527,0.253855372,0.120975092,0.140328627,0.03375914,0.03916003
11,P1_11,15.276985,100.173782,9,8,6.8,0.000169292,0.000196371,0.009791005,0.011357323,0.003311238,0.003840961,0.075958123,0.088109881,0.282765088,0.328001669,0.576137921,0.668306602,0.660167185,0.765778996,0.591156909,0.685730101,0.71319801,0.827293738,0.652176375,0.756511968,0.499567283,0.579487329,0.421930826,0.489430397,0.435750664,0.505459661,0.281690112,0.326754454,0.299307741,0.347187753,0.247629544,0.287245419
12,P1_12,15.277154,100.174377,9.8,8.8,7.7,0.008383789,0.009724841,0.000981246,0.00113822,0.001296357,0.001503749,0.054832288,0.06360442,0.281558359,0.326602183,0.476625256,0.552874288,0.719876021,0.835040993,0.680748077,0.789654295,0.757624388,0.878827113,0.693596944,0.804557613,0.568864591,0.659869916,0.569345179,0.660427103,0.589250843,0.683514246,0.450311633,0.522351366,0.459292024,0.532766323,0.378401278,0.438937523
13,P1_13,15.277302,100.174847,10.2,8.8,7.3,0,0,0.00112175,0.001301205,0.018466459,0.021420715,0.09075724,0.105276563,0.353949856,0.410574701,0.381750039,0.442821218,0.681469288,0.790490635,0.702514588,0.814902809,0.773941676,0.897755561,0.714801869,0.829155771,0.556984014,0.646089341,0.49308148,0.571962699,0.519540978,0.602653185,0.321597385,0.373046208,0.368541432,0.427498544,0.250542184,0.290623833
14,P1_14,15.277459,100.175414,7.8,6.9,6,0.000107331,0.000124501,0.001304831,0.001513573,0.032389114,0.037570728,0.098867002,0.114683723,0.3741367,0.433990738,0.642410703,0.745181571,0.769992659,0.89317545,0.693471617,0.804412872,0.790371285,0.916813754,0.726233633,0.842416736,0.552076244,0.640395922,0.496769688,0.576240645,0.506922669,0.588015013,0.407912898,0.473169533,0.394461688,0.457563888,0.31833614,0.369263131
15,P1_15,15.277572,100.175877,10,9.2,8,0.001046533,0.001213952,0.000196031,0.000227391,0.010338444,0.011992366,0.109497921,0.127015248,0.397532598,0.461128811,0.589299207,0.683573264,0.72108066,0.836437986,0.711192273,0.824967983,0.763848311,0.886047465,0.679296287,0.787970092,0.598983328,0.694806503,0.555236421,0.64406129,0.515915527,0.598448631,0.399621701,0.463552584,0.334014685,0.387446028,0.320086688,0.371293928
16,P2_1,15.275366,100.17408,6,5.2,4.6,0,0,0.001038211,0.001204301,0.110397473,0.128058659,0.083984355,0.097420121,0.342975959,0.397844459,0.494175038,0.573232223,0.653832066,0.758431454,0.599227589,0.695091481,0.705110553,0.817913088,0.615562371,0.714040775,0.581979491,0.675083647,0.42981332,0.498573989,0.458303447,0.531621302,0.4725272,0.548122455,0.414859409,0.481230092,0.227995767,0.264470979
17,P2_2,15.275461,100.17449,9.8,9,8,0,0,0.002436875,0.002826698,0.057435244,0.066623645,0.114574663,0.132904167,0.376508863,0.436741866,0.673352133,0.781072374,0.766497106,0.889120094,0.662994515,0.769059255,0.767829401,0.890665379,0.678909884,0.78752172,0.621882176,0.721369624,0.513432437,0.595570108,0.529784287,0.614536558,0.260322809,0.301969044,0.402706102,0.467133266,0.246318746,0.285725074
18,P2_3,15.275613,100.175132,11,10,8.3,0,0,0.003362673,0.003900615,0.136453192,0.158282846,0.114606547,0.132941207,0.394840351,0.45800586,0.685142298,0.794749143,0.738479691,0.856619757,0.720127685,0.835332847,0.772090408,0.89560821,0.717475456,0.832257226,0.658011119,0.763278311,0.628791518,0.729384185,0.602445197,0.698822513,0.387005254,0.448918458,0.370327378,0.429572829,0.256025859,0.296985235
19,P2_4,15.275701,100.17552,9.2,8.3,7.4,0,0,0.002082866,0.002416064,0.11615208,0.134733713,0.1537393,0.178334064,0.451521455,0.523753655,0.663591706,0.769749203,0.796930874,0.9244216,0.77927545,0.903943724,0.825251827,0.95727458,0.75828413,0.879594105,0.745133518,0.86433824,0.691087161,0.801645612,0.571450995,0.66286862,0.165914851,0.192457393,0.324486296,0.376397458,0.233328932,0.2706571
20,P2_5,15.275814,100.176003,8,7.2,6.2,0,0,0,0,0.06171045,0.071582765,0.111719518,0.129592176,0.459449715,0.532951174,0.697110835,0.808632701,0.804921033,0.933691963,0.81179952,0.941672301,0.811334758,0.941131622,0.722067488,0.837583796,0.691917557,0.802609039,0.584512063,0.67801999,0.492002511,0.570710708,0.252012681,0.292329246,0.263073808,0.305159857,0.209142672,0.242601418
21,P2_6,15.276194,100.176257,11.4,10.2,8.9,0,0,0.000249203,0.000289069,0.041969958,0.04868418,0.094405223,0.109508061,0.300653424,0.348751263,0.671921978,0.779414235,0.687723287,0.797743483,0.666301626,0.77289608,0.751019536,0.871165833,0.706930181,0.820024723,0.661654612,0.767505209,0.587123662,0.68105026,0.595266353,0.690493981,0.375568064,0.435650989,0.333293975,0.386611795,0.280865624,0.325798606
22,P2_7,15.276066,100.175703,4.8,4.2,3.6,0,0,0,0,0.007223532,0.008379148,0.047343588,0.054917661,0.308865621,0.358277466,0.631066212,0.732022395,0.670350698,0.777592723,0.597367742,0.692935198,0.715728608,0.83023048,0.657617326,0.762823894,0.515791719,0.598307496,0.460751699,0.53446218,0.561588415,0.651429682,0.384207649,0.445673271,0.356892884,0.4139865,0.286689617,0.332554676
23,P2_8,15.275964,100.175286,4.8,4.4,3.4,0,0,0,0,0.004966302,0.005760808,0.033857551,0.039274132,0.26620397,0.30879097,0.461720397,0.535585777,0.549107904,0.636954452,0.549197607,0.637058693,0.657420327,0.762594236,0.60126265,0.697453689,0.501199844,0.581381447,0.445138334,0.516351057,0.546892551,0.634382981,0.403771489,0.468367196,0.345692085,0.400993973,0.24559251,0.284882931
24,P2_9,15.275786,100.174532,5,4.5,4,0,0,0.001038943,0.00120515,0.06154943,0.071396066,0.045086682,0.052299674,0.314836237,0.365203257,0.577513234,0.669902448,0.653515133,0.758063277,0.569282223,0.660356104,0.654572916,0.759290072,0.574366092,0.666253519,0.416235315,0.482824109,0.368635965,0.427609386,0.460953227,0.53469487,0.327207212,0.379553875,0.236885188,0.274780273,0.0790332,0.091677192
25,P2_10,15.275667,100.174003,6.3,5.6,5,0,0,0.038221091,0.044335438,0.099283141,0.115166311,0.106642067,0.123702555,0.365291178,0.423729655,0.708908709,0.82231849,0.709044898,0.82247676,0.622104491,0.721628822,0.717644191,0.832451584,0.659858758,0.765423924,0.578772993,0.671364509,0.527343385,0.611707147,0.553516155,0.642065517,0.534485613,0.619991826,0.417980144,0.484845834,0.305168197,0.353989611
26,P2_11,15.276015,100.174007,14.4,12.8,10.1,0.000106842,0.000123934,0.011852453,0.013748503,0.154769555,0.17952923,0.113978673,0.132212812,0.389586111,0.451910847,0.673170369,0.780864679,0.780036179,0.904824235,0.6941127,0.805155239,0.786917014,0.912804857,0.726097972,0.842257485,0.608383863,0.705710278,0.473765645,0.54955625,0.572239064,0.663780958,0.283887568,0.329303222,0.177265344,0.205620695,0.180562188,0.209448392
27,P2_12,15.276095,100.174372,2.4,2,1.4,0,0,0.00130139,0.001509579,0.057396915,0.066579191,0.07133309,0.082744933,0.27014636,0.313363582,0.615965022,0.714507581,0.668834589,0.775833191,0.528399018,0.612932289,0.681522082,0.790550452,0.595387346,0.690637785,0.437219734,0.507165268,0.342049609,0.396769618,0.441532438,0.512166721,0.290942662,0.337487683,0.333957314,0.387379445,0.188820241,0.219027825
28,P2_13,15.276266,100.175153,6,5,4.4,0,0,0.002292011,0.002658681,0.047072528,0.054603178,0.09240047,0.10718276,0.320848857,0.372177897,0.572885526,0.664535655,0.661251115,0.767036446,0.477697076,0.55411943,0.651116115,0.755280863,0.596697362,0.692157326,0.451437973,0.523658296,0.39554734,0.458825817,0.581348244,0.674350136,0.519386523,0.602477215,0.407660516,0.472873286,0.364833702,0.42319992
29,P2_14,15.276356,100.175471,11.2,10,8.6,0,0,0.020510769,0.023791992,0.111697797,0.129567185,0.115456561,0.133927329,0.358319241,0.415642272,0.668412031,0.775344146,0.725147386,0.841153671,0.525090234,0.609094148,0.715875287,0.830398808,0.670053376,0.777247563,0.500746137,0.58085455,0.472935094,0.548593593,0.592891782,0.687739091,0.302155515,0.350493713,0.352969613,0.409433443,0.271268,0.314665512
30,P2_15,15.276479,100.176095,16.6,14.6,12.1,0,0,0,0,0.188759941,0.218957041,0.129609247,0.150343892,0.391107139,0.453674499,0.577843666,0.670286418,0.708892751,0.82229898,0.75240803,0.87277698,0.788579651,0.91473338,0.740652529,0.859141105,0.675134726,0.783139273,0.675252144,0.783275613,0.668686518,0.775658443,0.418030056,0.4849065,0.232677667,0.269898509,0.208996646,0.24243218
31,P3_1,15.273959,100.174284,17.6,16,13.6,0.004615059,0.005353317,0,0,0.234043005,0.271484453,0.061446367,0.07127647,0.227628596,0.264044048,0.567292321,0.658047025,0.686583469,0.796422287,0.721497565,0.836923209,0.787777093,0.913804332,0.766347215,0.888946717,0.721385511,0.836792033,0.737541287,0.855532238,0.734958404,0.852536413,0.649974919,0.753959411,0.56307379,0.653154202,0.470537113,0.545815037
