id,Plot_Name,Latitude,Longitude,Husk_Cob_Seed,Cob_Seed,Seed,7Mar_NDVI,7Mar_OSAVI,16Mar_NDVI,16Mar_OSAVI,23Mar_NDVI,23Mar_OSAVI,30Mar_NDVI,30Mar_OSAVI,5Apr_NDVI,5Apr_OSAVI
1,P1_1,15.276411,100.173847,9.4,8.3,7,75.87,88,72.24,83.8,58.79,68.19,55.42,64.29,60.03,69.63
2,P1_2,15.276544,100.174351,11.5,10.2,8.4,74.3,86.19,67.17,77.91,58.86,68.28,52.61,61.03,47.62,55.23
3,P1_3,15.276641,100.174642,18.4,16.5,14.2,77.99,90.46,73.53,85.3,72.42,84,68.19,79.1,66.29,76.9
4,P1_4,15.276776,100.175078,7.6,6.8,5.4,72.48,84.07,68.23,79.15,50.2,58.24,45.8,53.12,47.63,55.25
5,P1_5,15.277026,100.176013,14.6,13,11.3,81.37,94.39,76.3,88.51,69.73,80.88,67.38,78.16,68.5,79.45
6,P1_6,15.277291,100.175888,12.8,11.2,9.4,79.94,92.73,76.08,88.25,65.89,76.43,66.21,76.8,71.91,83.41
7,P1_7,15.277186,100.175511,13.2,12,10,79.32,92.01,75.64,87.74,67.76,78.6,68.16,79.06,72.27,83.83
8,P1_8,15.277062,100.175033,10.4,9.3,7.4,81.21,94.2,74.77,86.74,56.77,65.86,46.61,54.07,56.56,65.61
9,P1_9,15.276899,100.174489,12.6,11.2,9.2,78.04,90.52,72.81,84.46,57.23,66.39,56.35,65.37,62.59,72.6
10,P1_10,15.276737,100.173876,10,8.7,7.2,71.39,82.81,67.79,78.63,47.75,55.38,43.56,50.53,48.44,56.19
11,P1_11,15.276985,100.173782,9,8,6.8,71.32,82.73,65.22,75.65,49.96,57.95,42.19,48.94,43.58,50.55
12,P1_12,15.277154,100.174377,9.8,8.8,7.7,75.76,87.88,69.36,80.46,56.89,65.99,56.93,66.04,58.93,68.35
13,P1_13,15.277302,100.174847,10.2,8.8,7.3,77.39,89.78,71.48,82.92,55.7,64.61,49.31,57.2,51.95,60.27
14,P1_14,15.277459,100.175414,7.8,6.9,6,79.04,91.68,72.62,84.24,55.21,64.04,49.68,57.62,50.69,58.8
15,P1_15,15.277572,100.175877,10,9.2,8,76.38,88.6,67.93,78.8,59.9,69.48,55.52,64.41,51.59,59.84
16,P2_1,15.275366,100.17408,6,5.2,4.6,70.51,81.79,61.56,71.4,58.2,67.51,42.98,49.86,45.83,53.16
17,P2_2,15.275461,100.17449,9.8,9,8,76.78,89.07,67.89,78.75,62.19,72.14,51.34,59.56,52.98,61.45
18,P2_3,15.275613,100.175132,11,10,8.3,77.21,89.56,71.75,83.23,65.8,76.33,62.88,72.94,60.24,69.88
19,P2_4,15.275701,100.17552,9.2,8.3,7.4,82.53,95.73,75.83,87.96,74.51,86.43,69.11,80.16,57.15,66.29
20,P2_5,15.275814,100.176003,8,7.2,6.2,81.13,94.11,72.21,83.76,69.19,80.26,58.45,67.8,49.2,57.07
21,P2_6,15.276194,100.176257,11.4,10.2,8.9,75.1,87.12,70.69,82,66.17,76.75,58.71,68.11,59.53,69.05
22,P2_7,15.276066,100.175703,4.8,4.2,3.6,71.57,83.02,65.76,76.28,51.58,59.83,46.08,53.45,56.16,65.14
23,P2_8,15.275964,100.175286,4.8,4.4,3.4,65.74,76.26,60.13,69.75,50.12,58.14,44.51,51.64,54.69,63.44
24,P2_9,15.275786,100.174532,5,4.5,4,65.46,75.93,57.44,66.63,41.62,48.28,36.86,42.76,46.1,53.47
25,P2_10,15.275667,100.174003,6.3,5.6,5,71.76,83.25,65.99,76.54,57.88,67.14,52.73,61.17,55.35,64.21
