iter	RMSE
0	2.648803243
1	2.566093185
2	2.488794449
3	2.414890123
4	2.343146093
5	2.272725888
6	2.205636753
7	2.14198962
8	2.078991646
9	2.018618241
10	1.96509115
11	1.907433979
12	1.855438812
13	1.805077312
14	1.757062469
15	1.712948065
16	1.666760053
17	1.623049752
18	1.580647503
19	1.539715574
20	1.502007455
21	1.466559771
22	1.432864383
23	1.399116163
24	1.371974512
25	1.344048813
26	1.314648108
27	1.285866034
28	1.258365554
29	1.234172237
30	1.20825659
31	1.185159565
32	1.164032369
33	1.141779216
34	1.123176628
35	1.104265606
36	1.086501799
37	1.068141421
38	1.051381791
39	1.036202268
40	1.019510968
41	1.00500384
42	0.9898004268
43	0.9755754621
44	0.9576704062
45	0.9431307192
46	0.9283974987
47	0.9156525902
48	0.9037298801
49	0.8911910812
50	0.8824185846
51	0.8712494612
52	0.8591735373
53	0.8502746728
54	0.8404608511
55	0.8319583621
56	0.8211215794
57	0.8129854017
58	0.8067199254
59	0.7989973911
60	0.7922286487
61	0.7867117398
62	0.779519255
63	0.7730975028
64	0.766955845
65	0.7601680273
66	0.752920998
67	0.7475646238
68	0.7429527067
69	0.7386757321
70	0.7338548958
71	0.7292733589
72	0.7243622881
73	0.7192648421
74	0.7136163229
75	0.7069923954
76	0.7028473552
77	0.6982552684
78	0.693789079
79	0.6883664155
80	0.6838667171
81	0.6810597599
82	0.6776249328
83	0.6736127449
84	0.670605231
85	0.6671910409
86	0.6625854746
87	0.6575973737
88	0.6525451055
89	0.6494925193
90	0.645171337
91	0.6415180278
92	0.6378611522
93	0.6340190315
94	0.6315865639
95	0.6284972271
96	0.6247636256
97	0.6221458869
98	0.6196521033
99	0.6171263908
100	0.6150885462
101	0.6121613457
102	0.6106201001
103	0.6083739126
104	0.6058955454
105	0.603180097
106	0.6008745306
107	0.5986981067
108	0.5960945702
109	0.5936940599
110	0.59179086
111	0.5906309503
112	0.5884515953
113	0.586207129
114	0.5836917641
115	0.5801630362
116	0.577474646
117	0.5764080431
118	0.5746757153
119	0.5723209508
120	0.5695336471
121	0.5675970673
122	0.565559145
123	0.5642932661
124	0.5624086151
125	0.5603773688
126	0.5589055997
127	0.5572871395
128	0.5549988481
129	0.5534319079
130	0.5517313573
