iter	Passed	Remaining
0	2	2853
1	4	2477
2	6	2187
3	8	2215
4	10	2146
5	12	2086
6	14	2053
7	19	2405
8	22	2439
9	27	2713
10	32	2918
11	36	3009
12	39	2974
13	43	3037
14	45	2990
15	49	3050
16	52	3044
17	55	3037
18	63	3281
19	71	3495
20	73	3430
21	76	3386
22	78	3318
23	79	3244
24	81	3180
25	83	3115
26	84	3060
27	86	3002
28	88	2958
29	90	2916
30	91	2872
31	93	2833
32	95	2801
33	97	2770
34	99	2739
35	101	2727
36	104	2711
37	107	2711
38	109	2691
39	111	2678
40	114	2674
41	116	2646
42	117	2621
43	119	2594
44	121	2571
45	122	2544
46	124	2520
47	125	2493
48	127	2466
49	128	2439
50	129	2409
51	130	2383
52	131	2356
53	133	2331
54	134	2306
55	136	2296
56	137	2277
57	139	2263
58	141	2250
59	142	2237
60	144	2223
61	145	2207
62	147	2197
63	149	2186
64	151	2181
65	153	2173
66	155	2164
67	157	2151
68	158	2141
69	160	2128
70	161	2114
71	163	2101
72	164	2088
73	166	2077
74	167	2063
75	168	2049
76	169	2036
77	171	2023
78	172	2011
79	173	1997
80	174	1984
81	176	1972
82	177	1961
83	178	1950
84	180	1942
85	181	1933
86	183	1927
87	185	1924
88	189	1939
89	192	1948
90	195	1950
91	197	1950
92	199	1947
93	201	1943
94	203	1941
95	205	1936
96	207	1929
97	208	1922
98	210	1915
99	212	1908
100	213	1903
101	215	1894
102	216	1886
103	218	1879
104	219	1870
105	221	1865
106	222	1858
107	224	1851
108	225	1844
109	226	1835
110	228	1830
111	230	1824
112	231	1818
113	233	1811
114	234	1803
115	236	1799
116	237	1791
117	238	1784
118	240	1777
119	241	1769
120	242	1761
121	244	1757
122	245	1752
123	247	1747
124	248	1740
125	249	1734
126	251	1727
127	252	1722
128	254	1716
129	255	1710
130	256	1703
131	258	1696
132	259	1690
133	260	1684
134	261	1678
135	263	1671
136	264	1664
137	265	1658
138	266	1653
139	268	1648
140	269	1643
141	271	1638
142	272	1633
143	273	1626
144	275	1623
145	276	1617
146	277	1612
147	279	1607
148	280	1602
149	281	1597
150	283	1592
151	284	1585
152	285	1579
153	286	1573
154	287	1568
155	288	1563
156	290	1558
157	291	1554
158	293	1550
159	294	1548
160	297	1552
161	300	1554
162	302	1554
163	304	1553
164	306	1552
165	308	1551
166	310	1547
167	311	1545
168	313	1542
169	315	1538
170	316	1535
171	318	1531
172	319	1527
173	321	1524
174	322	1519
175	323	1514
176	324	1510
177	326	1505
178	327	1501
179	328	1496
180	329	1491
181	330	1486
182	332	1482
183	333	1478
184	334	1474
185	336	1470
186	337	1468
187	339	1464
188	340	1463
189	342	1458
190	343	1453
191	345	1451
192	346	1448
193	347	1443
194	349	1442
195	351	1440
196	352	1438
197	354	1435
198	356	1433
199	357	1430
200	359	1428
201	360	1425
202	362	1421
203	363	1417
204	364	1415
205	366	1410
206	367	1407
207	368	1403
208	369	1399
209	371	1396
210	372	1393
211	373	1389
212	375	1386
213	376	1382
214	377	1379
215	379	1376
216	380	1372
217	381	1368
218	382	1365
219	384	1362
220	385	1359
221	387	1357
222	388	1354
223	390	1351
224	391	1348
225	392	1344
226	394	1342
227	395	1338
228	396	1334
229	397	1331
230	399	1328
231	400	1325
232	401	1323
233	403	1319
234	404	1316
235	405	1313
236	406	1310
237	408	1306
238	409	1304
239	411	1301
240	412	1298
241	413	1295
242	415	1293
243	416	1291
244	418	1289
245	419	1286
246	420	1283
247	422	1281
248	423	1277
249	424	1274
250	426	1271
251	427	1267
252	428	1264
253	429	1262
254	431	1260
255	432	1258
256	434	1256
257	436	1254
258	437	1252
259	439	1249
260	440	1247
261	441	1244
262	443	1241
263	444	1239
264	445	1236
265	447	1234
266	448	1231
267	449	1228
268	451	1225
269	452	1223
270	454	1221
271	455	1218
272	456	1216
273	459	1217
274	461	1217
275	463	1215
276	465	1215
277	467	1213
278	468	1211
279	470	1209
280	472	1207
281	473	1206
282	475	1203
283	476	1201
284	477	1198
285	478	1195
286	480	1193
287	481	1190
288	482	1188
289	484	1185
290	485	1182
291	487	1182
292	489	1181
293	491	1179
294	492	1177
295	495	1177
296	497	1177
297	500	1179
298	504	1182
299	507	1183
300	510	1185
301	512	1184
302	514	1182
303	516	1181
304	517	1180
305	519	1178
306	521	1176
307	522	1174
308	524	1172
309	525	1170
310	526	1167
311	528	1164
312	529	1161
313	530	1159
314	531	1156
315	533	1154
316	534	1151
317	536	1150
318	537	1147
319	538	1145
320	540	1143
321	542	1141
322	544	1141
323	546	1139
324	547	1138
325	549	1136
326	552	1136
327	554	1136
328	556	1134
329	558	1133
330	559	1131
331	561	1129
332	562	1127
333	564	1125
334	565	1123
335	567	1121
336	568	1119
337	570	1116
338	571	1114
339	573	1112
340	574	1109
341	575	1107
342	576	1104
343	577	1102
344	579	1099
345	581	1098
346	582	1096
347	583	1093
348	585	1091
349	586	1088
350	587	1086
351	588	1084
352	590	1081
353	591	1079
354	592	1077
355	594	1075
356	596	1074
357	597	1072
358	599	1070
359	600	1068
360	602	1065
361	603	1063
362	604	1061
363	606	1058
364	607	1057
365	608	1054
366	610	1053
367	612	1051
368	613	1049
369	615	1047
370	617	1046
371	619	1045
372	621	1043
373	622	1042
374	624	1040
375	626	1039
376	627	1037
377	629	1035
378	630	1033
379	631	1030
380	633	1028
381	634	1026
382	635	1024
383	637	1021
384	638	1019
385	639	1017
386	640	1014
387	641	1012
388	643	1011
389	644	1008
390	646	1006
391	647	1004
392	649	1002
393	650	1000
394	651	998
395	653	996
396	654	994
397	655	992
398	657	990
399	658	987
400	659	985
401	661	983
402	662	981
403	664	979
404	665	977
405	666	975
406	667	972
407	668	970
408	670	968
409	671	966
410	673	964
411	674	963
412	676	961
413	677	959
414	678	956
415	679	954
416	680	952
417	682	949
418	683	947
419	684	945
420	686	943
421	687	941
422	688	939
423	690	937
424	691	935
425	693	934
426	695	933
427	696	931
428	698	930
